,0
0060824,Victory Bateman
0676413,Edward Peters
0755331,Gordon Sackville
0567224,Philo McCullough
0011484,Mountain Madness
0137407,Lloyd B. Carleton
0027209,Mignon Anderson
0588443,Harold Miller
0136876,Ora Carew
0185300,Edward Coxen
0606958,Stuart Morris
0521504,Jack Lott
0683221,Grace Pike
0020251,Alfred Allen
0672170,Edna Pennington
0015862,Go Straight
0175410,Frank O'Connor
0907386,Ethel Wales
0401368,Gladys Hulette
0500361,Lillian Leighton
0249187,Robert Edeson
0421138,DeWitt Jennings
0567756,Francis McDonald
0829171,Anita Stewart
0783865,Larry Semon
0007656,The Auction of Virtue
0157522,Naomi Childers
0589033,Mrs. Miller
0231591,Evelyn Dumo
0042449,Leslie Austin
0822074,Wyndham Standing
0012701,A Small Town Idol
0448915,Erle C. Kenton
0878035,Ben Turpin
0278006,James Finlayson
0369793,Phyllis Haver
0729991,Bert Roach
0177355,Al Cooke
0696679,Marie Prevost
0340806,Eddie Gribbon
0664527,Kalla Pasha
0079645,Billy Bevan
0641254,George O'Hara
0724633,John J. Richardson
0269771,Louise Fazenda
0174789,Lige Conley
0020623,Jane Allen
0147749,Ralph Ceder
0167395,Andy Clyde
0174692,Heinie Conklin
1206048,Eddie Fitzgerald
0340807,Harry Gribbon
0347404,Floy Guinn
0358028,Mark Hamilton
0358697,Harriet Hammond
0422135,George Jeske
0432480,Mildred June
0446384,Fanny Kelly
0446756,Patrick Kelly
1193120,Gordon Lewis
0509917,Grover Ligon
0516398,Marvin Loback
0547956,Don Marion
0604813,Kewpie Morgan
0003895,Ramon Novarro
0672971,Derelys Perdue
0709466,John Rand
0743285,Bud Ross
2101870,Chief Tahachee
1801881,Gladys Whitfield
0004977,A Black Sheep
0373614,Thomas N. Heffron
0363227,Otis Harlan
5083123,Rita Gould
0201472,Grace Darmond
0153062,John Charles
0102881,James Bradbury Sr.
0614398,John Daly Murphy
0605882,Fred Morley
0447079,Lou Kelso
0738366,Jack Rollens
0322708,Emma Glenwood
0014745,Broadway or Bust
0006866,Iris
0378408,Cecil M. Hepworth
0014680,Henry Ainley
0851953,Alma Taylor
0739182,Stewart Rome
0394472,Violet Hopson
0015864,The Gold Rush
0000122,Charles Chaplin
0841501,Mack Swain
0615306,Tom Murray
0074788,Henry Bergman
0354913,Georgia Hale
1033900,Jack Adams
1027682,Frank Aderias
1027683,Leona Aderias
0012447,Lillian Adrian
1035034,Claude Anderson
0037161,Harry Arras
0042317,Albert Austin
1028059,Marta Belfort
1033941,William Bell
1028111,Francis Bernhardt
1028130,F.J. Beuaregard
1035124,E. Blumenthal
1033950,William Bradford
1033954,George Brock
1028362,Pete Brogan
9261438,John Brown
1033965,William Butler
0131521,Cecile Cameron
1028477,R. Campbell
0139782,Leland Carr
1035210,H.C. Chisholm
0171047,Harry Coleman
1028723,Rebecca Conroy
1036418,Dorothy Crane
1035268,James Darby
0210468,Harry De More
0221353,Kay Deslys
0227243,Jimmy Dime
1029091,W.S. Dobson
1029190,John Eagown
1035329,Aaron Edward
1029312,E. Espinosa
1029360,Leon Farey
1029358,M. Farrell
1034029,Richard Foley
0285443,Charles Force
0288721,J.C. Fowler
0305087,Al Ernest Garcia
